week_start_date,rig_count,region
2022-01-24,748,NORTH_AMERICA
2022-01-31,748,NORTH_AMERICA
2022-02-07,748,NORTH_AMERICA
2022-02-14,748,NORTH_AMERICA
2022-02-21,748,NORTH_AMERICA
2022-02-28,748,NORTH_AMERICA
2022-03-07,748,NORTH_AMERICA
2022-03-14,748,NORTH_AMERICA
2022-03-21,748,NORTH_AMERICA
2022-03-28,748,NORTH_AMERICA
2022-04-04,748,NORTH_AMERICA
2022-04-11,748,NORTH_AMERICA
2022-04-18,748,NORTH_AMERICA
2022-04-25,748,NORTH_AMERICA
2022-05-02,748,NORTH_AMERICA
2022-05-09,748,NORTH_AMERICA
2022-05-16,748,NORTH_AMERICA
2022-05-23,748,NORTH_AMERICA
2022-05-30,748,NORTH_AMERICA
2022-06-06,748,NORTH_AMERICA
2022-06-13,748,NORTH_AMERICA
2022-06-20,748,NORTH_AMERICA
2022-06-27,748,NORTH_AMERICA
2022-07-04,748,NORTH_AMERICA
2022-07-11,748,NORTH_AMERICA
2022-07-18,748,NORTH_AMERICA
2022-07-25,748,NORTH_AMERICA
2022-08-01,748,NORTH_AMERICA
2022-08-08,748,NORTH_AMERICA
2022-08-15,748,NORTH_AMERICA
2022-08-22,748,NORTH_AMERICA
2022-08-29,748,NORTH_AMERICA
2022-09-05,748,NORTH_AMERICA
2022-09-12,748,NORTH_AMERICA
2022-09-19,748,NORTH_AMERICA
2022-09-26,748,NORTH_AMERICA
2022-10-03,748,NORTH_AMERICA
2022-10-10,748,NORTH_AMERICA
2022-10-17,748,NORTH_AMERICA
2022-10-24,748,NORTH_AMERICA
2022-10-31,748,NORTH_AMERICA
2022-11-07,748,NORTH_AMERICA
2022-11-14,748,NORTH_AMERICA
2022-11-21,748,NORTH_AMERICA
2022-11-28,748,NORTH_AMERICA
2022-12-05,748,NORTH_AMERICA
2022-12-12,748,NORTH_AMERICA
2022-12-19,748,NORTH_AMERICA
2022-12-26,748,NORTH_AMERICA
2023-01-02,649,NORTH_AMERICA
2023-01-09,649,NORTH_AMERICA
2023-01-16,649,NORTH_AMERICA
2023-01-23,649,NORTH_AMERICA
2023-01-30,649,NORTH_AMERICA
2023-02-06,649,NORTH_AMERICA
2023-02-13,649,NORTH_AMERICA
2023-02-20,649,NORTH_AMERICA
2023-02-27,649,NORTH_AMERICA
2023-03-06,649,NORTH_AMERICA
2023-03-13,649,NORTH_AMERICA
2023-03-20,649,NORTH_AMERICA
2023-03-27,649,NORTH_AMERICA
2023-04-03,649,NORTH_AMERICA
2023-04-10,649,NORTH_AMERICA
2023-04-17,649,NORTH_AMERICA
2023-04-24,649,NORTH_AMERICA
2023-05-01,649,NORTH_AMERICA
2023-05-08,649,NORTH_AMERICA
2023-05-15,649,NORTH_AMERICA
2023-05-22,649,NORTH_AMERICA
2023-05-29,649,NORTH_AMERICA
2023-06-05,649,NORTH_AMERICA
2023-06-12,649,NORTH_AMERICA
2023-06-19,649,NORTH_AMERICA
2023-06-26,649,NORTH_AMERICA
2023-07-03,649,NORTH_AMERICA
2023-07-10,649,NORTH_AMERICA
2023-07-17,649,NORTH_AMERICA
2023-07-24,649,NORTH_AMERICA
2023-07-31,649,NORTH_AMERICA
2023-08-07,649,NORTH_AMERICA
2023-08-14,649,NORTH_AMERICA
2023-08-21,649,NORTH_AMERICA
2023-08-28,649,NORTH_AMERICA
2023-09-04,649,NORTH_AMERICA
2023-09-11,649,NORTH_AMERICA
2023-09-18,649,NORTH_AMERICA
2023-09-25,649,NORTH_AMERICA
2023-10-02,649,NORTH_AMERICA
2023-10-09,649,NORTH_AMERICA
2023-10-16,649,NORTH_AMERICA
2023-10-23,649,NORTH_AMERICA
2023-10-30,649,NORTH_AMERICA
2023-11-06,649,NORTH_AMERICA
2023-11-13,649,NORTH_AMERICA
2023-11-20,649,NORTH_AMERICA
2023-11-27,649,NORTH_AMERICA
2023-12-04,649,NORTH_AMERICA
2023-12-11,649,NORTH_AMERICA
2023-12-18,649,NORTH_AMERICA
2023-12-25,649,NORTH_AMERICA
2024-01-01,589,NORTH_AMERICA
2024-01-08,589,NORTH_AMERICA
2024-01-15,589,NORTH_AMERICA
2024-01-22,589,NORTH_AMERICA
2024-01-29,589,NORTH_AMERICA
2024-02-05,589,NORTH_AMERICA
2024-02-12,589,NORTH_AMERICA
2024-02-19,589,NORTH_AMERICA
2024-02-26,589,NORTH_AMERICA
2024-03-04,589,NORTH_AMERICA
2024-03-11,589,NORTH_AMERICA
2024-03-18,589,NORTH_AMERICA
2024-03-25,589,NORTH_AMERICA
2024-04-01,589,NORTH_AMERICA
2024-04-08,589,NORTH_AMERICA
2024-04-15,589,NORTH_AMERICA
2024-04-22,589,NORTH_AMERICA
2024-04-29,589,NORTH_AMERICA
2024-05-06,589,NORTH_AMERICA
2024-05-13,589,NORTH_AMERICA
2024-05-20,589,NORTH_AMERICA
2024-05-27,589,NORTH_AMERICA
2024-06-03,589,NORTH_AMERICA
2024-06-10,589,NORTH_AMERICA
2024-06-17,589,NORTH_AMERICA
2024-06-24,589,NORTH_AMERICA
2024-07-01,589,NORTH_AMERICA
2024-07-08,589,NORTH_AMERICA
2024-07-15,589,NORTH_AMERICA
2024-07-22,589,NORTH_AMERICA
2024-07-29,589,NORTH_AMERICA
2024-08-05,589,NORTH_AMERICA
2024-08-12,589,NORTH_AMERICA
2024-08-19,589,NORTH_AMERICA
2024-08-26,589,NORTH_AMERICA
2024-09-02,589,NORTH_AMERICA
2024-09-09,589,NORTH_AMERICA
2024-09-16,589,NORTH_AMERICA
2024-09-23,589,NORTH_AMERICA
2024-09-30,589,NORTH_AMERICA
2024-10-07,589,NORTH_AMERICA
2024-10-14,589,NORTH_AMERICA
2024-10-21,589,NORTH_AMERICA
2024-10-28,589,NORTH_AMERICA
2024-11-04,589,NORTH_AMERICA
2024-11-11,589,NORTH_AMERICA
2024-11-18,589,NORTH_AMERICA
2024-11-25,589,NORTH_AMERICA
2024-12-02,589,NORTH_AMERICA
2024-12-09,589,NORTH_AMERICA
2024-12-16,589,NORTH_AMERICA
2024-12-23,589,NORTH_AMERICA
2024-12-30,589,NORTH_AMERICA
