iso_alpha3,country_name,cluster_label,total_fob_usd,last_year_fob_usd,first_year_fob_usd,active_months,n_hs,cagr
BHR,Bahrain,Core,1467265.548,356309.194,111508.838,59,5,0.26154732695560123
BRA,Brazil,Core,47364212.749,10398112.548,6506216.859,72,4,0.098310652506447
CAN,Canada,Core,89186855.747,16430306.805,12925118.619,72,5,0.049161214404833675
CHE,Switzerland,Core,6736780.4,1028511.923,2460816.559,71,5,-0.1601030232166204
CHL,Chile,Core,17482124.179,3221408.082,3781465.497,72,4,-0.03155018538599175
CHN,China,Core,282577598.065,50527862.43,83610236.994,72,5,-0.09582125363063987
COL,Colombia,Core,4721890.635,823472.152,878950.806,64,4,-0.012955189201724449
DEU,Germany,Core,278682201.735,59947131.828,38519926.267000005,72,5,0.09248779135357199
DNK,Denmark,Core,17480897.097,2600666.735,3980688.5039999997,71,5,-0.0816139007079435
DZA,Algeria,Core,5241656.182,1131864.994,410632.359,60,4,0.22480878210558886
ECU,Ecuador,Declining,1586360.744,460783.331,209200.899,48,4,0.17108021205483182
EGY,Egypt,Core,22020677.297,4762602.468,2450461.117,72,4,0.1421398994058758
ESP,Spain,Core,19606460.07,4932387.574,2678204.819,72,5,0.12990695414118036
ETH,Ethiopia,Declining,124368.34899999999,405.889,7780.383,14,5,-0.4460363589760047
FIN,Finland,Declining,98622.971,31841.763,11786.594,22,3,0.21989304787303987
FRA,France,Core,35792724.821,4545932.884000001,5376926.559,72,5,-0.033019351440800926
GBR,United Kingdom,Core,80388936.14,12826274.699000001,15336301.709,72,5,-0.03511405871648576
GIN,Guinea,Declining,495064.399,70719.674,31953.733,42,3,0.17220543209997263
GRC,Greece,Core,3595229.61,779606.295,1016618.769,69,5,-0.051705039186004
GTM,Guatemala,Core,3876812.9930000002,901979.084,334551.192,64,5,0.21940164634920922
IDN,Indonesia,Core,48319570.323,10263422.765,6395898.798,72,5,0.09920356193292457
IRL,Ireland,Core,5228473.239,784240.654,772981.429,67,3,0.002896367623550722
IRN,Iran,Core,9985765.094,607399.057,3411604.4110000003,59,4,-0.2918861493821311
IRQ,Iraq,Core,5523168.336,1399123.298,729721.086,56,4,0.13904221081181056
ISR,Israel,Core,5390264.374,924082.064,704385.899,70,5,0.05579591544449869
ITA,Italy,Core,60646532.679,13414663.427,10626800.325000001,72,5,0.04769640106578876
JOR,Jordan,Declining,1076940.666,361565.141,167740.067,51,5,0.16603060117230672
JPN,Japan,Core,43249336.218,7850285.403,6061091.439,72,5,0.05309347540682463
